# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:21:12
# test: straight 3 400
# period_ms=10 samples=198 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=198
# nota: cal straight 3 sale practicamente perfecto
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
580,1681,1727,410,389,24,27,1159,537
590,1718,1764,421,378,26,27,1162,512
600,1755,1801,429,370,24,249,1160,516
610,1792,1838,423,376,25,248,1161,512
620,1828,1875,419,380,24,28,1161,517
630,1865,1912,424,375,26,28,1159,511
640,1902,1948,414,385,23,28,1162,517
650,1939,1985,422,377,27,28,1161,512
660,1976,2021,426,373,24,102,1165,515
670,2012,2059,422,377,27,102,1182,513
680,2050,2096,417,382,26,27,1184,493
690,2086,2132,432,367,29,27,1181,487
700,2124,2169,440,359,27,27,1204,494
710,2160,2206,432,367,29,27,1205,487
720,2197,2243,433,366,24,28,1204,492
730,2234,2280,425,374,26,34,1229,487
740,2272,2317,425,374,86,42,1226,491
750,2308,2354,435,364,89,42,1228,464
760,2345,2391,443,356,69,81,1250,470
770,2382,2428,440,359,36,81,1250,465
780,2420,2465,426,373,34,82,1256,470
790,2456,2502,435,364,26,26,1272,465
800,2493,2539,433,366,25,27,1275,468
810,2530,2576,428,371,26,26,1272,465
820,2567,2613,436,363,24,26,1270,468
830,2604,2650,434,365,25,29,1291,463
840,2641,2687,429,370,24,27,1293,469
