# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-23 23:15:54
# test: turn 4
# period_ms=10 samples=273 capacity=384 result=OK build="Sep 23 2026 22:39:45"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=140 ticks_per_turn=378 turn_still_ms=20
# spd=400 fast=220 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=273
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
1350,812,-861,140,-140,91,36,910,729
1360,820,-869,140,-140,90,36,882,752
1370,827,-877,140,-140,73,45,867,753
1380,834,-885,140,-140,60,55,860,776
1390,842,-894,140,-140,59,54,841,829
1400,850,-902,140,-140,60,222,837,829
1410,858,-911,140,-140,60,214,809,854
1420,866,-919,140,-140,60,102,764,852
1430,874,-928,140,-140,60,44,764,876
1440,882,-938,140,-140,59,43,741,899
1450,890,-947,140,-140,164,44,694,896
1460,898,-956,140,-140,217,68,694,922
1470,906,-965,140,-140,216,68,648,923
1480,915,-975,140,-140,60,250,647,921
1490,923,-984,140,-140,59,249,600,945
1500,931,-993,140,-140,29,666,579,947
1510,939,-1003,140,-140,31,712,576,944
1520,948,-1012,140,-140,31,715,532,947
1530,956,-1022,140,-140,92,805,485,944
1540,964,-1031,140,-140,59,873,484,943
1550,972,-1041,140,-140,59,874,448,945
1560,981,-1051,140,-140,48,897,447,942
1570,989,-1060,140,-140,47,894,421,922
1580,998,-1070,140,-140,59,941,353,915
1590,1006,-1080,140,-140,90,966,351,896
