# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:18:51
# test: straight 2 400
# period_ms=10 samples=153 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=153
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
800,2537,2537,355,418,44,105,979,655
810,2573,2574,330,402,46,127,976,652
820,2609,2611,347,362,44,126,976,657
830,2645,2645,316,344,58,126,977,652
840,2680,2680,324,313,60,127,980,634
850,2713,2713,316,294,91,125,977,653
860,2745,2745,276,311,89,151,979,656
870,2776,2777,248,303,89,147,978,632
880,2807,2808,265,263,112,125,976,631
890,2837,2837,257,236,112,172,978,630
900,2865,2866,217,211,137,170,978,658
910,2892,2892,181,230,141,197,976,654
920,2917,2918,189,222,160,195,977,634
930,2941,2941,181,184,137,196,978,632
940,2964,2963,156,167,135,219,975,632
950,2984,2984,148,153,113,221,980,655
960,3003,3003,123,176,161,220,977,657
970,3021,3022,131,168,160,249,975,629
980,3038,3039,156,143,161,249,977,657
990,3055,3055,132,167,162,249,976,652
1000,3069,3070,140,159,159,248,976,657
1010,3085,3084,134,165,138,272,978,653
1020,3099,3099,141,158,136,272,976,657
1030,3113,3113,142,157,136,272,1000,657
1040,3126,3126,140,159,163,272,999,655
1050,3139,3139,140,159,162,272,1026,658
1060,3153,3153,138,161,163,271,1002,658
1070,3165,3166,134,165,162,272,1003,659
1080,3178,3179,156,143,192,272,1004,660
1090,3191,3191,134,165,192,297,1001,658
1100,3204,3204,144,155,191,320,1000,659
1110,3217,3217,145,154,193,319,1024,657
1120,3229,3229,139,160,191,320,1023,657
1130,3241,3241,0,0,194,322,1025,659
1140,3249,3248,0,0,193,320,1003,635
1150,3254,3254,0,0,192,321,1002,634
1160,3259,3259,0,0,218,319,1003,636
1170,3261,3262,0,0,216,320,1000,658
1180,3264,3264,0,0,215,321,1000,660
1190,3265,3266,0,0,217,320,979,660
1200,3265,3267,0,0,216,345,975,658
1210,3264,3267,0,0,216,345,978,659
1220,3264,3267,0,0,217,321,980,659
1230,3264,3267,0,0,215,344,977,656
1240,3264,3267,0,0,216,344,1003,636
1250,3264,3267,0,0,215,345,1002,637
1260,3264,3267,0,0,216,320,1000,635
1270,3264,3267,0,0,215,321,1002,658
1280,3264,3267,0,0,216,344,1004,658
1290,3264,3267,0,0,214,342,1002,657
1300,3264,3267,0,0,217,319,977,657
1310,3264,3267,0,0,213,344,974,655
1320,3264,3267,0,0,190,341,998,653
1330,3264,3267,0,0,193,321,1001,635
1340,3264,3267,0,0,191,321,975,633
1350,3264,3267,0,0,215,319,1002,657
1360,3264,3267,0,0,240,321,1002,659
1370,3264,3267,0,0,241,319,1001,657
1380,3264,3267,0,0,215,322,981,659
1390,3264,3267,0,0,216,343,976,656
1400,3264,3267,0,0,216,342,978,635
1410,3264,3267,0,0,217,319,977,658
1420,3264,3267,0,0,217,320,999,658
1430,3264,3267,0,0,217,320,1001,659
1440,3264,3267,0,0,217,343,1001,658
1450,3264,3267,0,0,216,342,1003,635
1460,3264,3267,0,0,217,341,1001,657
1470,3264,3267,0,0,215,322,1001,659
1480,3264,3267,0,0,216,318,978,658
1490,3264,3267,0,0,216,320,976,660
1500,3264,3267,0,0,215,322,1001,658
1510,3264,3267,0,0,241,321,1003,660
1520,3264,3267,0,0,239,322,1001,658
