# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:29:53
# test: turn 4
# period_ms=10 samples=212 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=362 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=212
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
280,256,-280,180,-180,676,1086,999,990
290,269,-294,180,-180,672,1081,1000,940
300,283,-307,180,-180,674,1107,1001,899
310,295,-321,180,-180,715,1108,1001,895
320,309,-335,180,-180,768,1107,1000,828
330,322,-348,180,-180,840,1133,1002,729
340,335,-362,180,-180,839,1131,978,727
350,348,-376,180,-180,913,1133,957,614
360,359,-387,0,0,989,1134,959,475
370,366,-394,0,0,988,1133,913,473
380,371,-400,0,0,1034,1111,866,323
390,376,-405,0,0,1032,1087,865,321
400,379,-409,0,0,1080,1087,844,179
410,383,-411,0,0,1104,1065,842,204
420,384,-412,0,0,1104,1064,809,204
430,384,-411,0,0,1128,1064,811,135
440,385,-411,0,0,1125,1066,810,35
450,385,-411,0,0,1124,1063,809,36
460,385,-411,32,-32,1125,1064,809,179
470,385,-411,72,-72,1122,1062,807,179
480,386,-411,112,-112,1124,1065,810,179
490,387,-412,152,-152,1125,1064,809,33
500,391,-415,180,-180,1123,1064,809,33
510,397,-420,180,-180,1126,1067,810,134
520,403,-425,180,-180,1125,1068,808,203
530,410,-432,180,-180,1125,1068,788,202
540,418,-440,180,-180,1124,1044,763,27
550,427,-448,180,-180,1124,1047,762,27
560,436,-459,180,-180,1145,1018,721,27
570,446,-469,180,-180,1172,974,716,27
580,457,-480,180,-180,1168,969,721,28
590,467,-491,180,-180,1193,926,692,27
600,479,-503,180,-180,1195,901,697,27
610,490,-516,180,-180,1197,904,811,28
620,502,-529,180,-180,1195,855,936,28
630,514,-542,180,-180,1195,855,933,27
640,527,-555,180,-180,1173,807,1008,67
650,539,-568,180,-180,1148,764,1001,28
660,552,-582,180,-180,1151,762,1050,27
670,565,-595,180,-180,1103,672,1070,69
680,578,-609,180,-180,1054,606,1071,28
690,591,-623,180,-180,1055,608,1095,29
700,603,-637,180,-180,985,536,1097,88
710,617,-651,180,-180,983,535,1113,87
720,631,-666,180,-180,889,465,1119,179
730,643,-679,180,-180,794,397,1114,273
740,657,-694,180,-180,793,393,1096,272
750,670,-708,180,-180,651,349,1093,346
760,683,-722,180,-180,528,323,1095,393
770,697,-736,180,-180,529,325,1071,392
780,710,-751,180,-180,384,27,1071,472
790,723,-765,180,-180,383,26,1049,473
800,737,-779,180,-180,215,28,1028,541
810,749,-791,0,0,38,29,1027,615
820,756,-799,0,0,38,30,980,613
